entity,branch,partnbr,mfgname,mfgpartnbr,description,family,category,Inventory Balance,Sum of Quantity On Hand,_Average Cost,Sum of Latest Cost,Sum of Quantity On Order,Sum of T3M Qty Used,Sum of T6M Qty Used,Sum of TTM Qty Used,Sum of Months of Cover,Last Receipt,status,Network Flag,Network Status,_Weighted T3M,_Weighted T6M,_Weighted TTM,_Weighted Demand,_Weighted Daily Sales,_Target OH QTY,_Rounded OH Target,_Excess QTY,Weeks to Burn,Months to Burn,Branch Flag,Months of Coverage
ABC,Branch 1,McZdyFAH,MANUFACTURER-0001,CODE-0001,Compact Steel Sensor,,,536,7,77,74.49,0,0,0,0,inf,3/10/2025 0:00,dead,Network Dead,dead,0,0,0,0,0,0,0,7,16,4,Branch Dead,inf
ABC,Branch 2,YNUZ1F73,MANUFACTURER-0002,CODE-0002,Modular Fiber Sensor,,,112,21,5,0,0,35,0,35,7.2,5/6/2025 0:00,excess,Network Moving,excess,84,0,3.5,87.5,0.239726027,17.5,18,3,2,0.5,Branch Moving,7.2
ABC,Branch 3,Jdyxjj6I,MANUFACTURER-0003,CODE-0003,Advanced Fiber Monitor,Service,Point of Sale,630,1,630,500,0,0,0,0,inf,,dead,Network Dead,dead,0,0,0,0,0,0,0,1,16,4,Branch Dead,inf
ABC,Branch 4,ZDxfKGfZ,,CODE-0004,Advanced Carbon Sensor,Service,Point of Sale,760,4,190,200,0,1,0,12,4,2/4/2025 0:00,excess,Network Moving,excess,2.4,0,1.2,3.6,0.009863014,0.72,1,3,43,10.75,Branch Moving,4
ABC,Branch 2,ZDxfKGfZ,,CODE-0004,Advanced Carbon Sensor,Service,Point of Sale,570,3,190,200,0,1,0,1,36,4/14/2025 0:00,excess,Network Moving,excess,2.4,0,0.1,2.5,0.006849315,0.5,1,2,42,10.5,Branch Moving,36
ABC,Branch 4,PcT2sbL8,MANUFACTURER-0003,CODE-0005,Compact Plastic Actuator,,,800,4,200,200,0,0,0,0,inf,9/13/2024 0:00,dead,Network Dead,dead,0,0,0,0,0,0,0,4,16,4,Branch Dead,inf
ABC,Branch 10,0nRUDbz7,MANUFACTURER-0003,CODE-0006,Modular Carbon Actuator,,,3050,1,3050,3050,0,0,0,0,inf,,excess,Network Moving,excess,0,0,0,0,0,0,0,1,16,4,Branch Dead,inf
ABC,Branch 5,0nRUDbz7,MANUFACTURER-0003,CODE-0006,Modular Carbon Actuator,,,3050,1,3050,3050,0,0,0,0,inf,,excess,Network Moving,excess,0,0,0,0,0,0,0,1,16,4,Branch Dead,inf
ABC,Branch 6,0nRUDbz7,MANUFACTURER-0003,CODE-0006,Modular Carbon Actuator,,,3050,1,3050,3050,0,0,0,0,inf,,excess,Network Moving,excess,0,0,0,0,0,0,0,1,16,4,Branch Dead,inf
ABC,Branch 7,0nRUDbz7,MANUFACTURER-0003,CODE-0006,Modular Carbon Actuator,,,3050,1,3050,3050,0,0,0,3,4,3/21/2024 0:00,excess,Network Moving,excess,0,0,0.3,0.3,0.000821918,0.06,1,0,0,0,Branch Moving,4
ABC,Branch 4,0nRUDbz7,MANUFACTURER-0003,CODE-0006,Modular Carbon Actuator,,,6100,2,3050,3050,0,2,0,8,3,1/13/2025 0:00,optimal,Network Moving,excess,4.8,0,0.8,5.6,0.015342466,1.12,2,0,0,0,Branch Moving,3
ABC,Branch 4,4Zglb3sC,MANUFACTURER-0003,CODE-0007,Modular Plastic Actuator,,,2867,2,1433,1900,0,0,0,1,24,12/24/2024 0:00,excess,Network Moving,excess,0,0,0.1,0.1,0.000273973,0.02,1,1,521,130.25,Branch Moving,24
ABC,Branch 7,8tNv5bdI,MANUFACTURER-0004,CODE-0008,Portable Aluminum Transmitter,AUTO,FITTINGS,4,2,2,1.981,0,0,0,0,inf,9/9/2013 0:00,dead,Network Dead,dead,0,0,0,0,0,0,0,2,16,4,Branch Dead,inf
ABC,Branch 8,dUCwVdND,MANUFACTURER-0004,CODE-0009,Portable Aluminum Panel,AUTO,Pneumatic,19,1,19,19.166,0,0,0,0,inf,2/1/2021 0:00,excess,Network Moving,optimal,0,0,0,0,0,0,0,1,16,4,Branch Dead,inf
